cust_id,ou_id,address_type,address,address_id
10759,3731,BILL_TO,"No.58, First Avenue, A Zone,Kunshan Comprehensive Free Trade Zone,Kunshan, Jiangsu, China",741403
10759,3714,BILL_TO,"No.58, First Avenue, A Zone,Kunshan Comprehensive Free Trade Zone,Kunshan, Jiangsu, China",738850
10759,109,BILL_TO,"760#WEST YANGGUANG RD,ZHANGPU TOWNKUNSHAN CITY,JIANGSU CHINA",860886
10759,3715,BILL_TO,"No.58, First Avenue, A Zone,Kunshan Comprehensive Free Trade Zone,Kunshan, Jiangsu, China",848648
10759,3591,BILL_TO,"No.58, First Avenue, A Zone,Kunshan Comprehensive Free Trade Zone,Kunshan, Jiangsu, China",1821425
10759,3592,BILL_TO,"No.69 Guilin Road,B Central Avenue,Comprehensive Free Trade Zone,Kunshan City",885328
10759,82,BILL_TO,"No.69 Guilin Road,B Central AvenueComprehensive Free Trade ZoneKUNSHAN CITY,CHINA",885329
10759,5510,BILL_TO,"NO.58,The 1st street,Kunshan Bxport processingZone,Jiangsu, P.R.CHINA",1891357
10759,320,BILL_TO,昆山市張浦鎮陽光西路760號,44346
10759,320,SHIP_TO,昆山市張浦鎮陽光西路760號,44348
10759,320,BILL_TO,江蘇省昆山市張浦鎮陽光西路760號,44350
10759,690,BILL_TO,"Unit C & G, 15th Floor,CDW Building, 388 CastlePeak Road, Tsuen Wan, N.T.,Hong Kong",139970
10759,219,BILL_TO,"No.58, First Avenue, A Zone,Kunshan Comprehensive Free Trade Zone,Kunshan, Jiangsu, China",225149
10759,3329,BILL_TO,"No.58, First Avenue, A Zone,Kunshan Comprehensive Free Trade Zone,Kunshan, Jiangsu, China",650234
10759,5510,BILL_TO,江蘇省昆山市張浦鎮陽光西路760號,1891355
10759,5510,BILL_TO,昆山市張浦鎮陽光西路760號,1891356
10759,317,SHIP_TO,"760# West Yangguang Rd,Zhangpu Town,Kunshan",127231
10759,690,SHIP_TO,"No.58, First Avenue, A Zone,Kunshan Comprehensive Free Trade Zone,Kunshan, Jiangsu, China",135801
10759,692,SHIP_TO,"760# West Yangguang Road, Zhangpu Town,Kunshan City, Jiangsu Province, China",187306
10759,690,SHIP_TO,"760# West Yangguang Road, Zhangpu Town,Kunshan City, Jiangsu Province, China",187088
10759,219,DELIVER_TO,"No.58, First Avenue, A Zone,Kunshan Comprehensive Free Trade Zone,Kunshan, Jiangsu, China",947935
10759,219,SHIP_TO,"No.58, First Avenue, A Zone,Kunshan Comprehensive Free Trade Zone,Kunshan, Jiangsu, China",225150
10759,3073,DELIVER_TO,"No 99, Zhong Yang Road, B district KunshanExport Processing Zone  Kunshan China",1743719
10759,3073,SHIP_TO,"No 99, Zhong Yang Road, B district KunshanExport Processing Zone  Kunshan China",582796
10759,3073,DELIVER_TO,"No 99, Zhong Yang Road, B district KunshanExport Processing Zone  Kunshan China",607726
10759,3073,SHIP_TO,"No 99, Zhong Yang Road, B district KunshanExport Processing Zone  Kunshan China",607725
10759,3074,DELIVER_TO,"No 99, Zhong Yang Road, B district KunshanExport Processing Zone  Kunshan China",607706
10759,3074,SHIP_TO,"No 99, Zhong Yang Road, B district KunshanExport Processing Zone  Kunshan China",607705
10759,3329,SHIP_TO,"No.58, First Avenue, A Zone,Kunshan Comprehensive Free Trade Zone,Kunshan, Jiangsu, China",650274
10759,320,DELIVER_TO,"NO.99,ZHONG YANG ROAD,B DISTRICTKUNSHAN EXPORT PROCESSING ZONE,KUNSHAN,CHINA",917394
10759,320,SHIP_TO,"NO.99,ZHONG YANG ROAD,B DISTRICTKUNSHAN EXPORT PROCESSING ZONE,KUNSHAN,CHINA",712877
10759,3718,SHIP_TO,"No.58, First Avenue, A Zone,Kunshan Comprehensive Free Trade Zone,Kunshan, Jiangsu, China",745432
10759,3719,SHIP_TO,"No.58, First Avenue, A Zone,Kunshan Comprehensive Free Trade Zone,Kunshan, Jiangsu, China",749337
10759,3715,SHIP_TO,江蘇省昆山市張浦鎮陽光西路760號,752730
10759,3714,SHIP_TO,"No.58, First Avenue, A Zone,Kunshan Comprehensive Free Trade Zone,Kunshan, Jiangsu, China",738852
10759,317,DELIVER_TO,"No.69 Guilin Road,B Central Avenue,Comprehensive Free Trade Zone,Kunshan City",923334
10759,320,DELIVER_TO,"No.69 Guilin Road,B Central Avenue,Comprehensive Free Trade Zone,Kunshan City",917395
10759,320,SHIP_TO,"No.69 Guilin Road,B Central Avenue,Comprehensive Free Trade Zone,Kunshan City",866077
10759,1388,SHIP_TO,"No.58, First Avenue, A Zone,Kunshan Comprehensive Free Trade Zone,Kunshan, Jiangsu, China",848824
10759,3715,SHIP_TO,"No.58, First Avenue, A Zone,Kunshan Comprehensive Free Trade Zone,Kunshan, Jiangsu, China",848649
10759,3169,SHIP_TO,"NO.69 Guilin Road. B Central Avenue,Zone Area Export Processing Zone,Kunshan City",868039
10759,219,SHIP_TO,"No.69 Guilin Road,B Central Avenue,Comprehensive Free Trade Zone,Kunshan City",866081
10759,109,DELIVER_TO,"760#WEST YANGGUANG RD,ZHANGPU TOWNKUNSHAN CITY,JIANGSU CHINA",931800
10759,109,SHIP_TO,"760#WEST YANGGUANG RD,ZHANGPU TOWNKUNSHAN CITY,JIANGSU CHINA",860829
10759,1388,SHIP_TO,"No.69 Guilin Road,B Central Avenue,Comprehensive Free Trade Zone,Kunshan City",864863
10759,3329,SHIP_TO,"NO.69 Guilin Road. B Central Avenue,Zone Area Export Processing Zone,Kunshan City",868021
10759,317,DELIVER_TO,"NO.99,ZHONG YANG ROAD,B DISTRICTKUNSHAN EXPORT PROCESSING ZONE,KUNSHAN CHINA",923335
10759,317,SHIP_TO,"NO.99,ZHONG YANG ROAD,B DISTRICTKUNSHAN EXPORT PROCESSING ZONE,KUNSHAN CHINA",822724
10759,317,DELIVER_TO,"760# West Yangguang Rd,Zhangpu Town,Kunshan",923333
10759,219,DELIVER_TO,昆山市張浦鎮陽光西路760號,947934
10759,690,DELIVER_TO,"No.58, First Avenue, A Zone,Kunshan Comprehensive Free Trade Zone,Kunshan, Jiangsu, China",1651954
10759,690,DELIVER_TO,"760# West Yangguang Road, Zhangpu Town,Kunshan City, Jiangsu Province, China",1651955
10759,3592,DELIVER_TO,"No.69 Guilin Road,B Central Avenue,Comprehensive Free Trade Zone,Kunshan City,CHINA",884208
10759,3592,SHIP_TO,"No.69 Guilin Road,B Central Avenue,Comprehensive Free Trade Zone,Kunshan City,CHINA",884207
10759,320,DELIVER_TO,昆山市張浦鎮陽光西路760號,917393
10759,692,DELIVER_TO,"760# West Yangguang Road, Zhangpu Town,Kunshan City, Jiangsu Province, China",1658798
10759,82,SHIP_TO,"No.69 Guilin Road,B Central AvenueComprehensive Free Trade ZoneKUNSHAN CITY,CHINA",884205
10759,109,DELIVER_TO,"No.69 Guilin Road,B Central Avenue,COMREHENSIVE FREE TRADE ZONEKunshan City",884233
10759,109,SHIP_TO,"No.69 Guilin Road,B Central Avenue,COMREHENSIVE FREE TRADE ZONEKunshan City",884234
10759,3591,SHIP_TO,"No.69 Guilin Road,B Central Avenue,Comprehensive Free Trade Zone,Kunshan City,CHINA",884235
10759,3714,SHIP_TO,昆山综合保税区B区桂林路55号,1966841
10759,3718,SHIP_TO,昆山综合保税区B区桂林路55号,1966827
10759,5510,SHIP_TO,"No.55 Guilin Road,B Central Avenue,Comprehensive Free Trade Zone, Kunshan City",1965756
10759,82,SHIP_TO,"No.55 Guilin Road,B Central Avenue,Comprehensive Free Trade Zone, Kunshan City",1965755
10759,219,SHIP_TO,"No.55 Guilin Road,B Central Avenue,Comprehensive Free Trade Zone, Kunshan City",1965740
10759,3592,SHIP_TO,"No.55 Guilin Road,B Central Avenue,Comprehensive Free Trade Zone, Kunshan City",1965742
10759,3731,SHIP_TO,昆山综合保税区B区桂林路55号,1966810
10759,109,SHIP_TO,"No.55 Guilin Road,B Central Avenue,Comprehensive Free Trade Zone, Kunshan City",1965739
10759,320,SHIP_TO,"No.55 Guilin Road,B Central Avenue,Comprehensive Free Trade Zone, Kunshan City",1965737
10759,317,SHIP_TO,"No.55 Guilin Road,B Central Avenue,Comprehensive Free Trade Zone, Kunshan City",1965738
10759,3719,SHIP_TO,昆山综合保税区B区桂林路55号,1966834
10759,3715,SHIP_TO,昆山综合保税区B区桂林路55号,1966838
10759,3591,SHIP_TO,"No.55 Guilin Road,B Central Avenue,Comprehensive Free Trade Zone, Kunshan City",1965741
10792,3169,BILL_TO,上海市漕河涇出口加工區浦星路789號,625835
10792,692,BILL_TO,上海市漕河涇出口加工區浦星路789號,122181
10792,690,BILL_TO,上海市漕河涇出口加工區浦星路789號,124162
10792,1395,BILL_TO,"No.789 Puxing Rd., Caohejing Export Processing ZoneShanghai China",211795
10792,317,BILL_TO,"NO.789,PUXING ROAD.,CAOHEJING EXPORT,CN",398280
10792,3074,BILL_TO,上海市.閔行區漕河涇加工出口區浦星路CP70廠789號,579244
10792,3074,SHIP_TO,上海市.閔行區漕河涇加工出口區浦星路CP70廠789號,579269
10792,3171,BILL_TO,上海市漕河涇出口加工區浦星路789號,645976
10792,3718,BILL_TO,上海市漕河涇出口加工區浦星路789號,744118
10792,3719,BILL_TO,上海市漕河涇出口加工區浦星路789號,748636
10792,3172,BILL_TO,"789, PUXING ROAD, MINHANG DISTRICT,Shanghai,China",831641
10792,3714,BILL_TO,上海市漕河涇出口加工區浦星路789號,882321
10792,3715,BILL_TO,上海市漕河涇出口加工區浦星路789號,882323
10792,5510,BILL_TO,上海市漕河涇出口加工區浦星路789號,1891293
10792,1780,BILL_TO,上海市漕河涇出口加工區浦星路789號,1768492
10792,1780,SHIP_TO,上海市漕河涇出口加工區浦星路789號,1768493
10792,3329,BILL_TO,上海市閔行區浦星公路789號6幢,1961394
10792,1388,BILL_TO,上海市闵行区浦星公路789号,1962339
10792,1388,SHIP_TO,上海市闵行区浦星公路789号,1962340
10792,320,BILL_TO,上海市闵行區浦星公路789號,1961577
10792,3169,BILL_TO,上海市漕河涇出口加工區浦星公路789號,625833
10792,320,DELIVER_TO,上海市漕河涇出口加工區浦星路789號,916548
10792,320,SHIP_TO,上海市漕河涇出口加工區浦星路789號,38864
10792,690,BILL_TO,"Unit C & G, 15th Floor,CDW Building, 388 CastlePeak Road, Tsuen Wan, N.T.,Hong Kong",131241
10792,5510,BILL_TO,"NO.789,PUXING ROAD., CAOHEJING EXPORTPROCESSING ZONE,SHANGHAI201114,CHINACP71",1891289
10792,5510,BILL_TO,"NO.789,PUXING ROAD.,CAOHEJING EXPORTPROCESSING ZONE,201114 SHANGHAI,CHINACP72",1891290
10792,5510,BILL_TO,"NO.789,PUXING ROAD., CAOHEJING EXPORTPROCESSING ZONE,SHANGHAI201114,CHINACP70",1891291
10792,5510,BILL_TO,上海市漕河涇出口加工區浦星路789號,1891292
10792,3169,SHIP_TO,"BUILDING 15,NO.789,PUXING RD.MINHONGSHANGHAI",625566
10792,3169,SHIP_TO,上海市漕河涇出口加工區浦星路789號,625620
10792,320,SHIP_TO,"NO.789,PUXING ROAD., CAOHEJING EXPORTPROCESSING ZONE,SHANGHAI201114,CHINACP70",39908
10792,320,SHIP_TO,"NO.789,PUXING ROAD., CAOHEJING EXPORTPROCESSING ZONE,SHANGHAI201114,CHINACP71",39910
10792,1395,SHIP_TO,"No.789 Puxing Rd., Caohejing Export Processing ZoneShanghai China",211796
10792,320,SHIP_TO,"友東倉(莘庄倉)C/O Gain Gune Logistics(SH) Co., LtdNo. 2588 South Lianhua Road, Min Hang District,Shanghai, P.R.China 200233/021-54165499",251793
10792,3329,SHIP_TO,"BUILDING 15,NO.789,PUXING RD.MINHONGSHANGHAI",649708
10792,320,DELIVER_TO,"No.789,Puxing Rd.,Caohejing ExportProcessing Zone,Shanghai,China (CP72)",916553
10792,320,SHIP_TO,"No.789,Puxing Rd.,Caohejing ExportProcessing Zone,Shanghai,China (CP72)",732714
10792,320,DELIVER_TO,"No. 789 Puxing Road, Min Hang District,Shanghai,P.R.China.(Building 9,General Factory,The Caohejing Export Processing Zone)",916552
10792,320,SHIP_TO,"No. 789 Puxing Road, Min Hang District,Shanghai,P.R.China.(Building 9,General Factory,The Caohejing Export Processing Zone)",709792
10792,317,DELIVER_TO,"No.789 Puxing Road,Min Hang District ShanghaiP.R.China Shuangshuang (Inventec(Pudong) Technology Corporation.)",921650
10792,317,SHIP_TO,"No.789 Puxing Road,Min Hang District ShanghaiP.R.China Shuangshuang (Inventec(Pudong) Technology Corporation.)",709782
10792,3718,SHIP_TO,上海市漕河涇出口加工區浦星路789號,744119
10792,3718,SHIP_TO,"789 Puxing Rd.,Minhang District,Shanghai,China(Building9,General Factory,The Caohejing ExportProcessing Zone)",744120
10792,3719,SHIP_TO,上海市漕河涇出口加工區浦星路789號,748637
10792,3719,SHIP_TO,"789 Puxing Rd.,Minhang District,Shanghai,China(Building9,General Factory,The Caohejing ExportProcessing Zone)",748638
10792,320,DELIVER_TO,"8F, NO.74,76, SEC. 1, CHENG KUNG RD.,NANKANG, DISTRICT, TAIPEI CITY , TAIWAN.",916554
10792,320,SHIP_TO,"8F, NO.74,76, SEC. 1, CHENG KUNG RD.,NANKANG, DISTRICT, TAIPEI CITY , TAIWAN.",840786
10792,219,SHIP_TO,"8F, NO.74,76, SEC. 1, CHENG KUNG RD.,NANKANG, DISTRICT, TAIPEI CITY 115, TAIWAN.",840806
10792,3172,DELIVER_TO,BUILDING NO.15 CAOHEJING EXPORT PROCESSINGZONE，NO.789，PUXING ROAD MINHANGDISTRIC OF SHANGHAI，CHINA,892222
10792,3172,SHIP_TO,BUILDING NO.15 CAOHEJING EXPORT PROCESSINGZONE，NO.789，PUXING ROAD MINHANGDISTRIC OF SHANGHAI，CHINA,831642
10792,317,DELIVER_TO,"8F, NO.74,76, SEC. 1, CHENG KUNG RD.,NANKANG, DISTRICT, TAIPEI CITY , TAIWAN.",921651
10792,317,SHIP_TO,"8F, NO.74,76, SEC. 1, CHENG KUNG RD.,NANKANG, DISTRICT, TAIPEI CITY , TAIWAN.",840808
10792,3714,SHIP_TO,"789 Puxing Rd.,Minhang District,Shanghai,China(Building9,General Factory,The Caohejing ExportProcessing Zone)",882320
10792,320,DELIVER_TO,"友東倉(莘庄倉)C/O Gain Gune Logistics(SH) Co., LtdNo. 2588 South Lianhua Road, Min Hang District,Shanghai, P.R.China 200233/021-54165499",916551
10792,3715,SHIP_TO,"789 Puxing Rd.,Minhang District,Shanghai,China(Building9,General Factory,The Caohejing ExportProcessing Zone)",882322
10792,5510,SHIP_TO,"NO.789,PUXING ROAD., CAOHEJING EXPORTPROCESSING ZONE,SHANGHAI201114,CHINACP70",1890369
107099,3714,BILL_TO,"No. 3188-1 Yungu Road (Hefei ExportProcessing Zone), Hefei Economic &Technological Development Area",1857960
107099,3715,BILL_TO,"No. 3188-1 Yungu Road (Hefei ExportProcessing Zone), Hefei Economic &Technological Development Area",1856670
107099,3715,DELIVER_TO,"No. 3188-1 Yungu Road (Hefei ExportProcessing Zone), Hefei Economic &Technological Development Area, Anhui",1856671
107099,3991,DELIVER_TO,"No. 3188-1 Yungu Road (Hefei ExportProcessing Zone), Hefei Economic &Technological Development Area, Anhui",1860099
107099,3991,SHIP_TO,No. 3188-1 Yungu Road (Hefei Export Processing Zone)Hefei Economic &Technological Development Area  HEFEI,1860100
107099,5510,DELIVER_TO,"No.3188-1 Yungu Road (Hefei Export ProcessingZone),Hefei Economic&TechnologicalDevelopment Area",1890263
107099,5510,SHIP_TO,"No.3188-1 Yungu Road (Hefei Export ProcessingZone),Hefei Economic&TechnologicalDevelopment Area",1890265
107099,5510,DELIVER_TO,"No.3188-1,Yungu Road(Hefei Export ProcessingZone),Hefei Economic & Technological Development AreaDevelopment Area",1890264
107099,5510,SHIP_TO,"No.3188-1,Yungu Road(Hefei Export ProcessingZone),Hefei Economic & Technological Development AreaDevelopment Area",1890266
107099,5510,SHIP_TO,合肥經濟技術開發區雲谷路3188-1號（合肥出口加工區内）,1890267
10792,5510,SHIP_TO,"8F, NO.74,76, SEC. 1, CHENG KUNG RD.,NANKANG, DISTRICT, TAIPEI CITY , TAIWAN.",1890989
10792,5510,DELIVER_TO,"8F, NO.74,76, SEC. 1, CHENG KUNG RD.,NANKANG, DISTRICT, TAIPEI CITY , TAIWAN.",1890990
10792,5510,DELIVER_TO,上海市漕河涇出口加工區浦星路789號,1890367
10792,5510,SHIP_TO,上海市漕河涇出口加工區浦星路789號,1890368
107099,3715,SHIP_TO,"No. 3188-1 Yungu Road (Hefei ExportProcessing Zone), Hefei Economic &Technological Development Area, Anhui",1856672
107099,3714,SHIP_TO,"No. 3188-1 Yungu Road (Hefei ExportProcessing Zone), Hefei Economic &Technological Development Area, Anhui",1857961
10759,320,BILL_TO,江蘇省昆山綜合保稅區A區第一大道58號,1917583
10759,320,SHIP_TO,江蘇省昆山綜合保稅區A區第一大道58號,1917584
10759,5510,DELIVER_TO,"NO.58,The 1st street,Kunshan Bxport processingZone,Jiangsu, P.R.CHINA",1890866
10759,5510,SHIP_TO,"NO.58,The 1st street,Kunshan Bxport processingZone,Jiangsu, P.R.CHINA",1890878
10759,5510,DELIVER_TO,"No.69 Guilin Road,B Central Avenue,Comprehensive Free Trade Zone,Kunshan City",1890868
10759,5510,SHIP_TO,"No.69 Guilin Road,B Central Avenue,Comprehensive Free Trade Zone,Kunshan City",1890867
10759,5510,DELIVER_TO,昆山市張浦鎮陽光西路760號,1890869
10759,5510,SHIP_TO,昆山市張浦鎮陽光西路760號,1890870
10759,5510,DELIVER_TO,"NO.99,ZHONG YANG ROAD,B DISTRICTKUNSHAN EXPORT PROCESSING ZONE,KUNSHAN,CHINA",1890872
10759,5510,SHIP_TO,"NO.99,ZHONG YANG ROAD,B DISTRICTKUNSHAN EXPORT PROCESSING ZONE,KUNSHAN,CHINA",1890871
10759,5510,SHIP_TO,"No.69 Guilin Road,B Central Avenue,Comprehensive Free Trade Zone,Kunshan City",1890875
10759,5510,DELIVER_TO,"No.58, First Avenue, A Zone,Kunshan Comprehensive Free Trade Zone,Kunshan, Jiangsu, China",1890877
10759,5510,SHIP_TO,"No.58, First Avenue, A Zone,Kunshan Comprehensive Free Trade Zone,Kunshan, Jiangsu, China",1890876
10759,1388,SHIP_TO,"No.55 Guilin Road,B Central Avenue,Comprehensive Free Trade Zone,Kunshan City",1969337
10792,5510,SHIP_TO,"NO.789,PUXING ROAD., CAOHEJING EXPORTPROCESSING ZONE,SHANGHAI201114,CHINACP71",1890370
10792,5510,SHIP_TO,"NO.789,PUXING ROAD.,CAOHEJING EXPORTPROCESSING ZONE,201114 SHANGHAI,CHINACP72",1890371
10792,5510,DELIVER_TO,"友東倉(莘庄倉)C/O Gain Gune Logistics(SH) Co., LtdNo. 2588 South Lianhua Road, Min Hang District,Shanghai, P.R.China 200233/021-54165499",1890372
10792,5510,SHIP_TO,"友東倉(莘庄倉)C/O Gain Gune Logistics(SH) Co., LtdNo. 2588 South Lianhua Road, Min Hang District,Shanghai, P.R.China 200233/021-54165499",1890373
10792,5510,DELIVER_TO,"No.789 Puxing Road,Min Hang District ShanghaiP.R.China Shuangshuang (Inventec(Pudong)Technology Corporation.)",1890375
10792,5510,SHIP_TO,"No.789 Puxing Road,Min Hang District ShanghaiP.R.China Shuangshuang (Inventec(Pudong)Technology Corporation.)",1890374
10792,5510,DELIVER_TO,"No. 789 Puxing Road, Min Hang District,Shanghai,P.R.China.(Building 9,General Factory,The Caohejing Export Processing Zone)",1890377
10792,5510,SHIP_TO,"No. 789 Puxing Road, Min Hang District,Shanghai,P.R.China.(Building 9,General Factory,The Caohejing Export Processing Zone)",1890376
10792,3714,SHIP_TO,"No.789, Puxing Road, Minhang District,Shanghai,China 201114",1858656
10792,3715,SHIP_TO,"No.789, Puxing Road, Minhang District,Shanghai,China 201114",1856985
10792,3329,SHIP_TO,上海市閔行區浦星公路789號,1961397
108523,3993,BILL_TO,深圳市福田區車公廟泰然九路海松大廈B-1303,794602
108523,219,BILL_TO,深圳市福田区车公庙泰然九路海松大厦B-1303,1961391
